scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00008,8,0,2,2,True,1,104.26708299200982,317.3079999978654,89.62275000521913,0.01229200279340148,406.94304200587794
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00020,20,0,3,3,True,1,223.52862503612414,384.60425002267584,22.381459013558924,0.005999987479299307,406.99170902371407
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00024,24,0,1,1,True,1,223.50808302871883,223.50808302871883,183.48287499975413,0.0037919962778687477,406.99475002475083
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00025,25,0,1,1,True,1,384.5519160386175,384.5519160386175,22.425749979447573,0.003208988346159458,406.9808750064112
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00033,33,0,1,1,True,1,104.13820901885629,104.13820901885629,302.8212909703143,0.0034170225262641907,406.96291701169685
pessimistic,40,bramev_global_rep,42,42,42,t00000-c00034,34,0,2,2,True,1,246.1036250460893,406.7607499891892,0.1865000231191516,0.0032919924706220627,406.950542004779
pessimistic,40,bramev_global_rep,42,42,42,t00001-c00025,25,1,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00002-c00025,25,2,0,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00003-c00025,25,3,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00004-c00025,25,4,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00005-c00025,25,5,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00006-c00025,25,6,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00007-c00025,25,7,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00008-c00025,25,8,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00009-c00025,25,9,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00010-c00025,25,10,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00011-c00019,19,11,3,3,True,1,20.850540953688323,92.42637496208772,0.013333046808838844,0.01195794902741909,92.45166595792398
pessimistic,40,bramev_global_rep,42,42,42,t00011-c00025,25,11,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00012-c00019,19,12,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00012-c00025,25,12,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00013-c00019,19,13,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00013-c00025,25,13,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00014-c00019,19,14,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00014-c00025,25,14,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00015-c00019,19,15,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00015-c00025,25,15,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00016-c00019,19,16,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00016-c00025,25,16,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00017-c00019,19,17,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00017-c00025,25,17,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00018-c00019,19,18,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00018-c00025,25,18,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00019-c00019,19,19,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00019-c00025,25,19,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00020-c00019,19,20,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00020-c00025,25,20,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00021-c00005,5,21,1,1,True,1,37.57691598730162,37.57691598730162,0.00808399636298418,0.010040996130555868,37.59504097979516
pessimistic,40,bramev_global_rep,42,42,42,t00021-c00019,19,21,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00021-c00025,25,21,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00022-c00019,19,22,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00022-c00025,25,22,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00022-c00031,31,22,1,1,True,1,42.170582979451865,42.170582979451865,0.009917013812810183,0.008750008419156075,42.18925000168383
pessimistic,40,bramev_global_rep,42,42,42,t00023-c00019,19,23,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00023-c00025,25,23,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00024-c00019,19,24,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00024-c00025,25,24,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00025-c00019,19,25,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00025-c00025,25,25,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00025-c00037,37,25,2,2,True,1,35.960208042524755,59.49025001609698,11.151541024446487,0.01087499549612403,70.65266603603959
pessimistic,40,bramev_global_rep,42,42,42,t00026-c00019,19,26,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00026-c00025,25,26,0,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00026-c00037,37,26,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00027-c00019,19,27,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00027-c00025,25,27,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00027-c00037,37,27,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00028-c00019,19,28,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00028-c00025,25,28,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00028-c00037,37,28,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00029-c00019,19,29,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00029-c00025,25,29,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00029-c00037,37,29,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00030-c00016,16,30,2,2,True,1,68.59345803968608,103.95075002452359,0.011165975593030453,0.010791991371661425,103.97270799148828
pessimistic,40,bramev_global_rep,42,42,42,t00030-c00019,19,30,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00030-c00025,25,30,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00030-c00037,37,30,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00031-c00016,16,31,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00031-c00019,19,31,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00031-c00025,25,31,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00031-c00037,37,31,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00032-c00016,16,32,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00032-c00019,19,32,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00032-c00025,25,32,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00032-c00037,37,32,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00033-c00016,16,33,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00033-c00019,19,33,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00033-c00025,25,33,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00033-c00037,37,33,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00034-c00016,16,34,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00034-c00019,19,34,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00034-c00025,25,34,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00034-c00037,37,34,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00035-c00016,16,35,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00035-c00019,19,35,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00035-c00025,25,35,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00035-c00037,37,35,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00036-c00016,16,36,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00036-c00019,19,36,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00036-c00025,25,36,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00036-c00037,37,36,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00037-c00016,16,37,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00037-c00019,19,37,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00037-c00025,25,37,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00037-c00037,37,37,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00038-c00010,10,38,3,3,True,1,42.62437502620742,140.089666005224,13.899374986067414,0.0140840420499444,154.00312503334135
pessimistic,40,bramev_global_rep,42,42,42,t00038-c00016,16,38,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00038-c00019,19,38,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00038-c00025,25,38,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00038-c00037,37,38,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00005,5,39,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00010,10,39,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00014,14,39,3,3,True,1,85.33533400623128,255.6883340002969,17.823749978560954,0.014208024367690086,273.52629200322554
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00016,16,39,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00019,19,39,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00025,25,39,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00039-c00037,37,39,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00005,5,40,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00010,10,40,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00016,16,40,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00019,19,40,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00025,25,40,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00033,33,40,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00040-c00037,37,40,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00005,5,41,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00010,10,41,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00016,16,41,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00019,19,41,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00025,25,41,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00033,33,41,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00041-c00037,37,41,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00005,5,42,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00010,10,42,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00016,16,42,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00019,19,42,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00025,25,42,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00033,33,42,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00042-c00037,37,42,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00005,5,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00010,10,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00016,16,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00019,19,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00025,25,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00033,33,43,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00043-c00037,37,43,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00005,5,44,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00010,10,44,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00016,16,44,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00019,19,44,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00025,25,44,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00027,27,44,1,1,True,1,54.835124989040196,54.835124989040196,31.37762501137331,0.015083001926541328,86.22783300234005
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00033,33,44,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00044-c00037,37,44,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00002,2,45,3,3,True,1,56.49491702206433,157.25608402863145,14.152665971778333,0.014749995898455381,171.42349999630824
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00005,5,45,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00010,10,45,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00016,16,45,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00019,19,45,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00025,25,45,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00033,33,45,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00045-c00037,37,45,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00005,5,46,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00010,10,46,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00016,16,46,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00019,19,46,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00025,25,46,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00033,33,46,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00046-c00037,37,46,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00005,5,47,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00010,10,47,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00016,16,47,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00019,19,47,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00025,25,47,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00033,33,47,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00047-c00037,37,47,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00005,5,48,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00010,10,48,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00016,16,48,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00019,19,48,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00025,25,48,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00033,33,48,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00048-c00037,37,48,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00005,5,49,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00010,10,49,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00016,16,49,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00019,19,49,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00025,25,49,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00033,33,49,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00049-c00037,37,49,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00005,5,50,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00007,7,50,1,1,True,1,76.49733300786465,76.49733300786465,53.835708007682115,0.020084029529243708,130.353125045076
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00010,10,50,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00013,13,50,1,1,True,1,76.46250003017485,76.46250003017485,53.93358395667747,0.005665991920977831,130.4017499787733
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00016,16,50,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00019,19,50,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00025,25,50,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00033,33,50,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00050-c00037,37,50,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00005,5,51,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00007,7,51,1,1,True,1,99.8979999567382,99.8979999567382,61.71962502412498,0.0219999928958714,161.63962497375906
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00010,10,51,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00013,13,51,1,1,True,1,99.85883400077,99.85883400077,61.80187501013279,0.005208014044910669,161.6659170249477
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00016,16,51,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00019,19,51,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00025,25,51,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00033,33,51,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00051-c00037,37,51,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00005,5,52,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00010,10,52,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00016,16,52,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00019,19,52,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00025,25,52,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00033,33,52,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00037,37,52,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00052-c00038,38,52,1,1,True,1,111.0895830206573,111.0895830206573,0.01962494570761919,0.010917021427303553,111.12012498779222
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00005,5,53,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00010,10,53,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00016,16,53,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00019,19,53,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00025,25,53,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00033,33,53,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00053-c00037,37,53,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00005,5,54,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00010,10,54,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00016,16,54,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00019,19,54,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00025,25,54,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00033,33,54,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00054-c00037,37,54,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00005,5,55,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00010,10,55,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00016,16,55,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00019,19,55,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00025,25,55,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00033,33,55,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00055-c00037,37,55,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00005,5,56,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00010,10,56,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00016,16,56,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00019,19,56,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00025,25,56,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00033,33,56,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00056-c00037,37,56,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00005,5,57,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00010,10,57,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00016,16,57,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00019,19,57,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00023,23,57,1,1,True,1,88.8328340370208,88.8328340370208,73.35995795438066,0.02316699828952551,162.215958989691
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00025,25,57,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00033,33,57,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00037,37,57,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00057-c00038,38,57,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00001,1,58,1,1,True,1,93.40395900653675,93.40395900653675,0.009707990102469921,0.011625001206994057,93.42529199784622
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00005,5,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00010,10,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00016,16,58,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00019,19,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00025,25,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00033,33,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00037,37,58,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00058-c00038,38,58,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00005,5,59,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00010,10,59,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00016,16,59,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00019,19,59,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00025,25,59,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00033,33,59,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00037,37,59,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00059-c00038,38,59,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00003,3,60,1,1,True,1,68.3507079957053,68.3507079957053,58.70175000745803,0.018832972273230553,127.07129097543657
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00005,5,60,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00010,10,60,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00016,16,60,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00019,19,60,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00025,25,60,4,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00033,33,60,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00037,37,60,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00060-c00038,38,60,2,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00061-c00005,5,61,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00061-c00010,10,61,1,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00061-c00012,12,61,4,4,True,1,61.58750003669411,132.28829100262374,0.015416997484862804,0.01166702713817358,132.31537502724677
pessimistic,40,bramev_global_rep,42,42,42,t00061-c00016,16,61,3,0,False,0,,,,,
pessimistic,40,bramev_global_rep,42,42,42,t00061-c00019,19,61,1,0,False,0,,,,,
