scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,200,bramev_fixed_alpha,42,42,42,8,25,0.2336,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,20,22,0.3372,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,24,33,0.1597,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,25,13,0.3778,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,34,18,0.447,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,48,31,0.313,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,59,13,0.2315,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,68,3,0.0603,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,92,9,0.1836,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,104,10,0.2952,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,106,39,0.3062,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,121,29,0.1273,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,122,11,0.5135,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,143,0,0.2952,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,151,38,0.5294,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,154,18,0.37,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,166,30,0.3493,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,191,39,0.3361,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,196,25,0.0616,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,196,13,0.2232,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,196,37,0.4719,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,160,4,0.3017,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,179,22,0.3149,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,77,9,0.1751,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,177,11,0.592,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,179,24,0.227,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,47,7,0.1641,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,47,29,0.8757,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,114,39,0.7403,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,19,20,0.0616,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,47,25,0.941,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,114,17,0.9606,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,19,28,0.2849,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,135,26,0.1996,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,183,15,0.5299,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,111,26,0.1996,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,94,1,0.2075,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,139,9,0.153,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,181,4,0.3017,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,139,4,0.2477,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,149,14,0.2864,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,149,30,0.3982,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,52,0,0.3382,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,31,30,0.6459,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,152,0,0.3382,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,37,3,0.193,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,106,23,0.5483,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,194,26,0.1996,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,37,17,0.0709,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,99,3,0.2022,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,106,16,0.1522,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,49,5,0.1984,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,99,17,0.9161,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,113,38,0.4596,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,76,18,0.0947,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,16,25,0.1549,0.0
pessimistic,200,bramev_fixed_alpha,42,42,42,81,0,0.3382,0.0
