scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
balance,150,bramev_event_score,42,42,42,8,25,0.2336,0.0
balance,150,bramev_event_score,42,42,42,20,22,0.3372,0.0
balance,150,bramev_event_score,42,42,42,24,33,0.1597,0.0
balance,150,bramev_event_score,42,42,42,25,13,0.3778,0.0
balance,150,bramev_event_score,42,42,42,33,0,0.2085,0.0
balance,150,bramev_event_score,42,42,42,34,18,0.447,0.0
balance,150,bramev_event_score,42,42,42,48,31,0.313,0.0
balance,150,bramev_event_score,42,42,42,59,13,0.2315,0.0
balance,150,bramev_event_score,42,42,42,68,3,0.0603,0.0
balance,150,bramev_event_score,42,42,42,92,4,0.2343,0.0
balance,150,bramev_event_score,42,42,42,99,11,0.4541,0.0
balance,150,bramev_event_score,42,42,42,114,10,0.2626,0.0
balance,150,bramev_event_score,42,42,42,122,11,0.5135,0.0
balance,150,bramev_event_score,42,42,42,143,0,0.2952,0.0
balance,150,bramev_event_score,42,42,42,146,13,0.2217,0.0
balance,150,bramev_event_score,42,42,42,77,9,0.1751,0.0
balance,150,bramev_event_score,42,42,42,47,7,0.1641,0.0
balance,150,bramev_event_score,42,42,42,47,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,19,20,0.0616,0.0
balance,150,bramev_event_score,42,42,42,47,29,0.8757,0.0
balance,150,bramev_event_score,42,42,42,19,28,0.2849,0.0
balance,150,bramev_event_score,42,42,42,135,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,81,15,0.3667,0.0
balance,150,bramev_event_score,42,42,42,111,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,106,13,0.2979,0.0
balance,150,bramev_event_score,42,42,42,94,1,0.2075,0.0
balance,150,bramev_event_score,42,42,42,148,11,0.5818,0.0
balance,150,bramev_event_score,42,42,42,149,14,0.2864,0.0
balance,150,bramev_event_score,42,42,42,149,14,0.2864,0.0
balance,150,bramev_event_score,42,42,42,52,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,131,29,0.1223,0.0
balance,150,bramev_event_score,42,42,42,31,30,0.6459,0.0
balance,150,bramev_event_score,42,42,42,72,32,0.2716,0.0
balance,150,bramev_event_score,42,42,42,109,10,0.3792,0.0
balance,150,bramev_event_score,42,42,42,49,5,0.1984,0.0
balance,150,bramev_event_score,42,42,42,113,38,0.4596,0.0
balance,150,bramev_event_score,42,42,42,104,14,0.2544,0.0
balance,150,bramev_event_score,42,42,42,113,3,0.3407,0.0
balance,150,bramev_event_score,42,42,42,76,18,0.0947,0.0
balance,150,bramev_event_score,42,42,42,125,13,0.2505,0.0
balance,150,bramev_event_score,42,42,42,78,29,0.2935,0.0
balance,150,bramev_event_score,42,42,42,40,5,0.1921,0.0
balance,150,bramev_event_score,42,42,42,10,9,0.1986,0.0
balance,150,bramev_event_score,42,42,42,40,35,0.1487,0.0
balance,150,bramev_event_score,42,42,42,5,4,0.3017,0.0
balance,150,bramev_event_score,42,42,42,10,4,0.3017,0.0
balance,150,bramev_event_score,42,42,42,14,27,0.4265,0.0
balance,150,bramev_event_score,42,42,42,119,11,0.592,0.0
balance,150,bramev_event_score,42,42,42,5,22,0.3165,0.0
balance,150,bramev_event_score,42,42,42,27,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,2,36,0.2487,0.0
balance,150,bramev_event_score,42,42,42,134,22,0.1667,0.0
balance,150,bramev_event_score,42,42,42,83,3,0.2277,0.0
balance,150,bramev_event_score,42,42,42,7,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,7,12,0.4957,0.0
balance,150,bramev_event_score,42,42,42,123,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,25,22,0.3165,0.0
balance,150,bramev_event_score,42,42,42,38,11,0.4663,0.0
balance,150,bramev_event_score,42,42,42,43,18,0.3689,0.0
balance,150,bramev_event_score,42,42,42,90,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,38,15,0.394,0.0
balance,150,bramev_event_score,42,42,42,38,4,0.2844,0.0
balance,150,bramev_event_score,42,42,42,64,26,0.1996,0.0
balance,150,bramev_event_score,42,42,42,93,22,0.1647,5.0
balance,150,bramev_event_score,42,42,42,37,31,0.322,0.0
balance,150,bramev_event_score,42,42,42,46,3,0.4483,0.0
balance,150,bramev_event_score,42,42,42,69,26,0.1996,35.0
balance,150,bramev_event_score,42,42,42,23,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,105,12,0.1372,0.0
balance,150,bramev_event_score,42,42,42,1,11,0.592,0.0
balance,150,bramev_event_score,42,42,42,23,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,3,0,0.3382,0.0
balance,150,bramev_event_score,42,42,42,141,3,0.0604,0.0
balance,150,bramev_event_score,42,42,42,12,14,0.2193,0.0
balance,150,bramev_event_score,42,42,42,121,22,0.3165,0.0
balance,150,bramev_event_score,42,42,42,62,11,0.592,0.0
balance,150,bramev_event_score,42,42,42,36,9,0.2378,0.0
balance,150,bramev_event_score,42,42,42,39,30,0.3493,0.0
balance,150,bramev_event_score,42,42,42,84,38,0.3441,0.0
