scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,20,bramev_event_score,42,42,42,0,0,0,0.290955
pessimistic,20,bramev_event_score,42,42,42,0,0,1,0.34266
pessimistic,20,bramev_event_score,42,42,42,0,5,0,0.219847
pessimistic,20,bramev_event_score,42,42,42,0,5,1,0.278663
pessimistic,20,bramev_event_score,42,42,42,0,6,0,0.708626
pessimistic,20,bramev_event_score,42,42,42,0,6,1,0.718564
pessimistic,20,bramev_event_score,42,42,42,0,7,0,0.57078
pessimistic,20,bramev_event_score,42,42,42,0,7,1,0.594503
pessimistic,20,bramev_event_score,42,42,42,0,8,0,0.80801
pessimistic,20,bramev_event_score,42,42,42,0,8,1,0.80801
pessimistic,20,bramev_event_score,42,42,42,0,10,0,0.305265
pessimistic,20,bramev_event_score,42,42,42,0,10,1,0.35554
pessimistic,20,bramev_event_score,42,42,42,0,11,0,0.250242
pessimistic,20,bramev_event_score,42,42,42,0,11,1,0.306019
pessimistic,20,bramev_event_score,42,42,42,1,1,0,0.261312
pessimistic,20,bramev_event_score,42,42,42,1,1,1,0.28393
pessimistic,20,bramev_event_score,42,42,42,1,2,0,0.739154
pessimistic,20,bramev_event_score,42,42,42,1,2,1,0.713988
pessimistic,20,bramev_event_score,42,42,42,1,3,0,0.890094
pessimistic,20,bramev_event_score,42,42,42,1,3,1,0.849834
pessimistic,20,bramev_event_score,42,42,42,1,9,0,0.487495
pessimistic,20,bramev_event_score,42,42,42,1,9,1,0.487495
pessimistic,20,bramev_event_score,42,42,42,2,4,0,0.142737
pessimistic,20,bramev_event_score,42,42,42,2,4,1,0.142737
